Name,Group Number,Day,Dates,Start Time,End Time,Location,Type,Teacher
GEL7041-Automne2022-E,0,N/A,Du 6 sept. 2022 au 16 déc. 2022,N/A,N/A,N/A,Laboratoire,N/A
GEL7050-Automne2016-A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GEL7050-Automne2009-B,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GEL7060-Hiver2012-A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GEL7060-Automne2009-B,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GEL7062-Hiver2024-A,0,Mardi,Du 15 jan. 2024 au 26 avr. 2024,9h30,12h20,Adrien-Pouliot 2540,En classe,N/A
GEL7062-Hiver2023-B,0,Mardi,Du 10 jan. 2023 au 21 avr. 2023,9h30,12h20,Adrien-Pouliot 2504,En classe,N/A
GEL7063-Automne2024-A,0,Vendredi,Du 3 sept. 2024 au 13 déc. 2024,8h30,11h20,Adrien-Pouliot 2508,En classe,Éric Poulin
GEL7063-Automne2023-B,0,Vendredi,Du 5 sept. 2023 au 15 déc. 2023,8h30,11h20,Adrien-Pouliot 2508,En classe,N/A
GEL7063-Automne2021-C,0,Vendredi,Du 30 août 2021 au 10 déc. 2021,8h30,11h20,Adrien-Pouliot 2508,En classe,N/A
GEL7064-Hiver2024-A,0,Mercredi,Du 15 jan. 2024 au 26 avr. 2024,9h30,12h20,Adrien-Pouliot 2540,En classe,N/A
GEL7064-Hiver2023-B,0,Mercredi,Du 10 jan. 2023 au 21 avr. 2023,9h30,12h20,Adrien-Pouliot 2504,En classe,N/A
GEL7065-Automne2024-A,0,N/A,Du 3 sept. 2024 au 13 déc. 2024,N/A,N/A,N/A,Lectures dirigées,Leslie Rusch
GEL7065-Ete2024-B,0,N/A,Du 6 mai 2024 au 16 août 2024,N/A,N/A,N/A,Lectures dirigées,N/A
GEL7065-Hiver2024-C,0,N/A,Du 15 jan. 2024 au 26 avr. 2024,N/A,N/A,N/A,Lectures dirigées,N/A
GEL7066-Automne2019-A,0,Jeudi,Du 3 sept. 2019 au 13 déc. 2019,13h30,16h20,Adrien-Pouliot 2903,En classe,N/A
GEL7069-Hiver2023-A,0,Lundi,Du 10 jan. 2023 au 21 avr. 2023,12h30,15h20,Adrien-Pouliot 0103,Laboratoire,N/A
GEL7069-Hiver2021-B,0,Lundi,Du 18 jan. 2021 au 23 avr. 2021,12h30,15h20,Adrien-Pouliot 3103,Laboratoire,N/A
GEL7070-Automne2024-A,0,N/A,Du 3 sept. 2024 au 13 déc. 2024,N/A,N/A,N/A,Lectures dirigées,Wei Shi
GEL7070-Ete2024-B,0,N/A,Du 6 mai 2024 au 16 août 2024,N/A,N/A,N/A,Colloque,N/A
GEL7070-Hiver2024-C,0,N/A,Du 15 jan. 2024 au 26 avr. 2024,N/A,N/A,N/A,Projet,N/A
GEL7071-Automne2024-A,0,N/A,Du 3 sept. 2024 au 13 déc. 2024,N/A,N/A,N/A,Lectures dirigées,Wei Shi
GEL7071-Hiver2024-B,0,N/A,Du 15 jan. 2024 au 26 avr. 2024,N/A,N/A,N/A,Projet,N/A
GEL7071-Automne2023-C,0,N/A,Du 5 sept. 2023 au 15 déc. 2023,N/A,N/A,N/A,Lectures dirigées,N/A
GEL7072-Automne2024-A,0,Mercredi,Du 3 sept. 2024 au 13 déc. 2024,13h30,16h20,Adrien-Pouliot 2500,En classe,Benoit Gosselin
GEL7072-Automne2024-A,0,Mardi,Du 3 sept. 2024 au 13 déc. 2024,13h30,16h20,Adrien-Pouliot 3103,Laboratoire,Benoit Gosselin
GEL7072-Automne2023-C,0,Mercredi,Du 5 sept. 2023 au 15 déc. 2023,13h30,16h20,Adrien-Pouliot 2500,En classe,N/A
GEL7072-Automne2023-C,0,Mardi,Du 5 sept. 2023 au 15 déc. 2023,13h30,16h20,Adrien-Pouliot 3103,Laboratoire,N/A
GEL7072-Automne2022-E,0,Mercredi,Du 6 sept. 2022 au 16 déc. 2022,13h30,16h20,Adrien-Pouliot 2508,En classe,N/A
GEL7072-Automne2022-E,0,Mardi,Du 6 sept. 2022 au 16 déc. 2022,13h30,16h20,Adrien-Pouliot 3103,Laboratoire,N/A
GEL7073-Automne2024-A,0,Jeudi,Du 3 sept. 2024 au 13 déc. 2024,9h30,12h20,Adrien-Pouliot 2542,En classe,Amine Miled
GEL7073-Automne2023-B,0,Jeudi,Du 5 sept. 2023 au 15 déc. 2023,9h30,12h20,Adrien-Pouliot 2544,En classe,N/A
GEL7073-Automne2022-C,0,Jeudi,Du 6 sept. 2022 au 16 déc. 2022,9h30,12h20,Adrien-Pouliot 2540,En classe,N/A
